Actor name,Actor date of birth,Actor gender,Actor height,Actor ethnicity,Actor age at movie release,Actor Score Index,Gender,University,Theater,Sports,Birth City,Date of Birth,Citizenship,Number of Children,Career Start,found_match
Hank Azaria,1964-04-25,M,1.82,American Jews,31.0,7.662613674288058,Male,Tufts University,Yes,,New York City US,1964-04-25,,1.0,1986.0,True
Sylvester Stallone,1946-07-06,M,1.77,Italian Americans,35.0,7.55190969233797,Male,University of Miami,,Dance,New York City US,1946-07-06,,5.0,1968.0,True
Steve Carell,1962-08-16,M,1.75,White people,29.0,7.517168667990591,Male,sub 1500 school,,,Concord Massachusetts US,1962-08-16,,2.0,1989.0,False
Jack Nicholson,1937-04-22,M,1.77,Italian Americans,43.0,7.505648563653159,Male,Did not go,Yes,,Neptune City New Jersey US,1937-04-22,,6.0,1955.0,False
Val Kilmer,1959-12-31,M,1.83,Scottish Americans,24.0,7.47897833579393,Male,Specialised Music School,,,Los Angeles California US,1959-12-31,,2.0,1981.0,False
Harry Shearer,1943-12-23,M,1.67,Jewish people,39.0,7.397152670160724,Male,"University of California, Los Angeles (UCLA)",Yes,,Los Angeles California US,1943-12-23,,,1950.0,True
Hugh Jackman,1968-10-12,M,1.89,Australians,31.0,7.390428940594029,Male,University of Technology Sydney,Yes,,Sydney New South Wales Australia,1968-10-12,AustraliaUnited Kingdom,2.0,1994.0,True
Wesley Snipes,1962-07-31,M,1.753,African Americans,26.0,7.356717720539104,Male,sub 1500 school,,Martial arts,Orlando Florida US,1962-07-31,,6.0,1985.0,False
Halle Berry,1966-08-14,F,1.68,White people,25.0,7.338531839962864,Female,sub 1500 school,,,Cleveland Ohio US,1966-08-14,,2.0,1989.0,False
Jean-Claude Van Damme,1960-10-18,M,1.78,,23.0,7.33322848242876,Male,Did not go,,Martial arts,,1960-10-18,,3.0,1976.0,False
Edward Norton,1969-08-18,M,1.83,,26.0,7.317067339807274,Male,Yale University,Yes,,Boston Massachusetts US,1969-08-18,,1.0,1993.0,True
Ewan McGregor,1971-03-31,M,1.79,Scottish people,22.0,7.269085054619262,,Specialised Drama School,Yes,,Perth Scotland,1971-03-31,"United Kingdom, United States",5.0,1992.0,False
John Ratzenberger,1947-04-06,M,1.75,,35.0,7.199749780347181,Male,Specialised Arts School,,,Bridgeport Connecticut US,1947-04-06,,2.0,1973.0,False
Jeff Bridges,1949-12-04,M,1.85,,30.0,7.196568454918371,Male,Did not go,,,Los Angeles California US,1949-12-04,,3.0,1951.0,False
Dennis Quaid,1954-04-09,M,1.83,Cajun,26.0,7.170899474935617,Male,University of Houston,,Dance,Houston Texas US,1954-04-09,,3.0,1975.0,True
Helena Bonham Carter,1966-05-26,F,1.6,English people,19.0,7.156795152733395,Female,Did not go,,,Islington London England,1966-05-26,,2.0,1983.0,False
Scarlett Johansson,1984-11-22,F,1.63,Ashkenazi Jews,11.0,7.152287507877005,Female,Did not go,Yes,Dance,New York City US,1984-11-22,United StatesDenmark,2.0,1994.0,False
Tommy Lee Jones,1946-09-15,M,1.83,,36.0,7.13333454170402,Male,Harvard University,,,San Saba Texas US,1946-09-15,,2.0,1969.0,True
Martin Lawrence,1965-04-16,M,1.71,African Americans,26.0,7.132028277894992,Male,Did not go,,,Frankfurt,1965-04-16,,3.0,1987.0,False
Catherine O%27Hara,1954-03-04,F,1.63,Canadian Americans,29.0,7.125179133027009,Female,Did not go,Yes,,Toronto Ontario Canada,1954-03-04,CanadaUnited States,2.0,1974.0,False
Bruce McGill,1950-07-11,M,1.76,,38.0,7.102583425710106,Male,University of Texas Dallas,,,San Antonio Texas US,1950-07-11,,,1977.0,True
Jackie Chan,1954-04-07,M,1.74,Hongkongers,27.0,6.991324874480819,Male,Did not go,,,,1954-04-07,,,,False
James Cromwell,1940-01-27,M,2.01,,44.0,6.988589406849584,Male,Carnegie Mellon University,Yes,Tennis,Los Angeles California US,1940-01-27,,3.0,1974.0,True
Hugo Weaving,1960-04-04,M,1.88,,35.0,6.987010773581546,Male,Specialised Drama School,,,Ibadan British Nigeria,1960-04-04,,2.0,1980.0,False
Steve Martin,1945-08-14,M,1.83,,36.0,6.972567264564901,Male,California State University Long Beach,Yes,,Waco Texas,1945-08-14,,1.0,1966.0,True
Steve Zahn,1967-11-13,M,1.71,,26.0,6.966010937738587,Male,Harvard University,Yes,Dance,Marshall Minnesota US,1967-11-13,,2.0,1990.0,True
John Goodman,1952-06-20,M,1.88,White Americans,31.0,6.962529269882915,Male,sub 1500 school,Yes,Football,Affton Missouri US,1952-06-20,,1.0,1975.0,False
Kate Beckinsale,1973-07-26,F,1.7,English people,19.0,6.954370077599975,Male,University of Oxford,Yes,,London England,1973-07-26,,1.0,1991.0,True
Liev Schreiber,1967-10-04,M,1.91,Jewish people,27.0,6.938946650166665,Male,Yale University,,,San Francisco California US,1967-10-04,,3.0,1992.0,True
Ben Stiller,1965-11-30,M,1.73,Jewish people,22.0,6.91285954253486,Male,"University of California, Los Angeles (UCLA)",Yes,,New York City US,1965-11-30,,2.0,1975.0,True
Justin Long,1978-06-02,M,1.74,White Americans,21.0,6.908168972841124,Male,Vassar College,Yes,,Fairfield Connecticut US,1978-06-02,,,1999.0,False
Will Ferrell,1967-07-16,M,1.91,,29.0,6.890997426844653,Male,University of Southern California,,Soccer,Irvine California US,1967-07-16,,3.0,1994.0,True
Tony Shalhoub,1953-10-09,M,1.772,Arab Americans,36.0,6.886852708891295,Male,Yale University,,,Green Bay Wisconsin US,1953-10-09,,2.0,1980.0,True
Bill Nighy,1949-12-12,M,1.88,English people,53.0,6.875027851261173,Male,Specialised Acting School,Yes,Dance,Caterham Surrey England,1949-12-12,,,1969.0,False
Jet Li,1963-04-26,M,1.676,,35.0,6.846453149878455,Male,Did not go,,Martial arts,Beijing China,1963-04-26,,4.0,1982.0,False
Seth Rogen,1982-04-15,M,1.797,Jewish people,18.0,6.843406333658884,Male,Did not go,,,Vancouver British Columbia Canada,1982-04-15,"Canada, United States",,1999.0,False
Greg Kinnear,1963-06-17,M,1.765,White Americans,31.0,6.84086948140622,Male,The University of Arizona,,Football,Logansport Indiana US,1963-06-17,,3.0,1988.0,True
Keith David,1956-06-04,M,1.88,African Americans,26.0,6.840042891857433,Male,Specialised Music School,,,New York City US,1956-06-04,,3.0,1977.0,False
Daniel Radcliffe,1989-07-23,M,1.66,English people,11.0,6.821048218198468,Male,Did not go,,,London England,1989-07-23,,1.0,1999.0,False
Jason Bateman,1969-01-14,M,1.8,,18.0,6.8181417860398685,Male,Did not go,,,Rye New York US,1969-01-14,,2.0,1981.0,False
Julia Roberts,1967-10-28,F,1.75,English Americans,20.0,6.810305207070956,Female,Did not go,Yes,,Smyrna Georgia US,1967-10-28,,3.0,1987.0,False
Ian McKellen,1939-05-25,M,1.8,,44.0,6.797302891410213,Male,University of Cambridge,Yes,,Burnley Lancashire England,1939-05-25,,,1958.0,True
Sharon Stone,1958-03-10,F,1.74,Irish Americans,23.0,6.767340939933983,Female,Did not go,,,Meadville Pennsylvania US,1958-03-10,,3.0,1976.0,False
Oliver Platt,1960-01-12,M,1.92,Canadian Americans,28.0,6.766197601303641,Male,Tufts University,Yes,,Windsor Ontario Canada,1960-01-12,,3.0,1985.0,True
Jon Favreau,1966-10-19,M,1.83,Italians,27.0,6.7644645959730605,Male,sub 1500 school,Yes,,New York City US,1966-10-19,,3.0,1988.0,False
Mel Gibson,1956-01-03,M,1.77,Australian Americans,28.0,6.755483552995625,Male,Specialised Drama School,,,Peekskill New York US,1956-01-03,United StatesIreland12,9.0,1976.0,False
Kurt Russell,1951-03-17,M,1.78,,30.0,6.754952225291223,,Did not go,,Baseball,Springfield Massachusetts US,1951-03-17,,2.0,1962.0,False
Alan Tudyk,1971-03-16,M,1.83,,28.0,6.743781013321121,Male,Specialised Music School,Yes,,El Paso Texas US,1971-03-16,,,1997.0,False
Sandra Bullock,1964-07-26,F,1.71,,28.0,6.738275207190205,Female,sub 1500 school,Yes,Ballet,Arlington County Virginia US,1964-07-26,United StatesGermany,2.0,1987.0,False
Ray Liotta,1954-12-18,M,1.83,Italian Americans,28.0,6.729521198022734,Male,University of Miami,Yes,Baseball,Newark New Jersey US,1954-12-18,,1.0,1978.0,True
Angelina Jolie,1975-06-04,F,1.73,Slovak Americans,20.0,6.725789688064578,Female,Did not go,Yes,,Los Angeles California US,1975-06-04,"United States, Cambodiab",6.0,1982.0,False
Will Smith,1968-09-25,M,1.88,African Americans,24.0,6.724802052439553,Male,Did not go,,,Philadelphia Pennsylvania US,1968-09-25,,3.0,1985.0,False
Kevin Kline,1947-10-24,M,1.88,German Americans,35.0,6.722203673849374,Male,Indiana University Bloomington,Yes,,St Louis Missouri US,1947-10-24,,,1970.0,True
Anne Hathaway,1982-11-12,F,1.73,White people,20.0,6.718848834040433,Female,York University,Yes,Soccer,New York City US,1982-11-12,,2.0,1997.0,True
Maggie Smith,1934-12-28,F,1.651,English people,46.0,6.717731908281733,Female,Specialised Acting School,Yes,,Ilford Essex England,1934-12-28,,,,False
John Leguizamo,1964-07-22,M,1.73,Hispanic and Latino Americans,25.0,6.712991058984781,,Did not go,Yes,,Bogotá Colombia,1960-07-22,ColombiaUnited States,2.0,1984.0,False
Patrick Swayze,1952-08-18,M,1.78,White people,30.0,6.705103869580478,Male,Did not go,,Dance,Houston Texas US,1952-08-18,,,1976.0,False
Jason Statham,1967-09-12,M,1.75,,33.0,6.6845693723263055,Male,Did not go,,Football,Shirebrook England,1967-07-26,,2.0,1993.0,False
Luis Guzmán,1956-08-28,M,1.71,Stateside Puerto Ricans,31.0,6.682296286823241,Male,American University,Yes,,Cayey Puerto Rico,1956-08-28,,,1976.0,True
Robert Redford,1936-08-18,M,1.75,English people,47.0,6.661388238906797,Male,University of Colorado Boulder,,Baseball,Santa Monica California US,1936-08-18,,4.0,1958.0,True
John C. Reilly,1965-05-24,M,1.87,Lithuanian Americans,24.0,6.654605985901279,Male,sub 1500 school,Yes,,Chicago Illinois US,1965-05-24,,2.0,1988.0,False
Joan Cusack,1962-10-11,F,1.75,Irish Americans,21.0,6.652161063520476,Female,University of Wisconsin-Madison,,,New York City US,1962-10-11,,2.0,1979.0,True
Juliette Lewis,1973-06-21,F,1.68,,15.0,6.640762334400893,Female,sub 1500 school,,,Los Angeles California US,1973-06-21,,,1980.0,False
David Spade,1964-07-22,M,1.7,,29.0,6.631514232330083,Male,Arizona State University,,,Birmingham Michigan,1964-07-22,,1.0,1987.0,True
Kevin Dunn,1956-08-24,M,1.78,,34.0,6.621883714435534,Male,Wesleyan University,Yes,Football,Chicago Illinois US,1955-08-24,,1.0,1986.0,True
Cary Elwes,1962-10-26,M,1.83,Anglo-Irish people,24.0,6.621734503461305,Male,sub 1500 school,Yes,,Westminster London England,1962-10-26,,1.0,1979.0,False
Brad Pitt,1963-12-18,M,1.8,,23.0,6.578643665236152,Male,"University of Missouri, Kansas City",,Tennis,Shawnee Oklahoma US,1963-12-18,,6.0,1987.0,True
Ethan Suplee,1976-05-25,M,1.854,White Americans,19.0,6.573602498216039,Male,Did not go,Yes,Football,New York City US,1976-05-25,,4.0,1994.0,False
Josh Hartnett,1978-07-21,M,1.91,Swedes,20.0,6.569702332370487,Male,sub 1500 school,Yes,Football,Saint Paul Minnesota US,1978-07-21,,4.0,1997.0,False
Dan Castellaneta,1957-10-29,M,1.78,,32.0,6.566375858627115,Male,sub 1500 school,,,Chicago Illinois US,1957-10-29,,,1979.0,False
Eva Mendes,1974-03-05,F,1.68,Cuban Americans,24.0,6.5635972869630566,Female,Did not go,Yes,,Miami Florida US,1974-03-05,,2.0,1996.0,False
Ben Affleck,1972-08-15,M,1.89,Scottish Americans,19.0,6.562301040472941,Male,Did not go,Yes,Basketball,Berkeley California US,1972-08-15,,3.0,1981.0,False
John Michael Higgins,1963-02-12,M,1.8,,34.0,6.554448638588156,Male,sub 1500 school,Yes,Track,Boston Massachusetts US,1963-02-12,,2.0,1985.0,False
Michael J. Fox,1961-06-09,M,1.63,Canadian Americans,24.0,6.527428543469401,Male,Did not go,Yes,,Edmonton Alberta Canada,1961-06-09,CanadaUnited States from 2000,4.0,1978.0,False
Rachel McAdams,1978-11-17,F,1.65,,26.0,6.526007056370421,Female,York University,Yes,Soccer,London Ontario Canada,1978-11-17,,2.0,2001.0,True
Paul Walker,1973-09-12,M,1.86,Albanian Americans,24.0,6.514004865317192,Male,Did not go,,,Glendale California US,1973-09-12,,,1975.0,False
Queen Latifah,1970-03-18,F,1.78,African Americans,21.0,6.499523473962933,Male,Did not go,,Basketball,Newark New Jersey US,1970-03-18,,1.0,1988.0,False
Jennifer Aniston,1969-02-11,F,1.68,Italian Americans,23.0,6.476911511769444,Male,Did not go,,,Los Angeles California US,1969-02-11,,,1987.0,False
Woody Allen,1935-12-01,M,1.65,Jewish people,48.0,6.474079370622612,Male,Did not go,,Baseball,New York City US,1935-11-30,,5.0,1956.0,False
Kathy Bates,1948-06-28,F,1.6,,38.0,6.473791364596546,Female,Southern Methodist University,Yes,,Memphis Tennessee US,1948-06-28,,,1969.0,True
Rob Schneider,1963-10-31,M,1.7,American Jews,27.0,6.465738450865835,Male,San Francisco State University,,,San Francisco California US,1963-10-31,,3.0,1987.0,True
Leslie Mann,1972-03-26,F,1.69,,23.0,6.464800528715736,Female,Did not go,,Dance,San Francisco California US,1972-03-26,,,1988.0,False
Tim Allen,1953-06-13,M,1.8,,41.0,6.453527750463037,Male,Western Michigan University,Yes,,Denver Colorado US,1953-06-13,,2.0,1975.0,True
Jean Dujardin,1972-06-19,M,1.82,,38.0,6.447021037356988,Male,Did not go,Yes,Track,RueilMalmaison France,1972-06-19,,4.0,1996.0,False
Keanu Reeves,1964-09-02,M,1.86,Irish people,24.0,6.446343069199163,Male,Did not go,Yes,,Beirut Lebanon,1964-09-02,Canada,1.0,1991.0,False
Philip Baker Hall,1931-09-10,M,1.68,,56.0,6.425951166233708,Male,Did not go,Yes,,Toledo Ohio US,1931-09-10,,4.0,1960.0,False
Sala Baker,1976-09-22,M,1.88,,25.0,6.421470969831975,Male,Did not go,,,Wellington New Zealand,1976-09-22,,,2001.0,False
Warwick Davis,1970-02-03,M,1.067,English people,11.0,6.411842515404095,Male,Did not go,,,Epsom Surrey England,1970-02-03,,3.0,1979.0,False
Jude Law,1972-12-29,M,1.82,English people,24.0,6.410013233898001,Male,Did not go,,,London England,1972-12-29,,7.0,1987.0,False
Antonio Banderas,1960-08-10,M,1.74,,31.0,6.408271111131634,Male,Did not go,Yes,Football,Málaga Spain,1960-08-10,,1.0,1982.0,False
Chris Cooper,1951-07-09,M,1.78,,44.0,6.407979818147541,Male,"University of Missouri, Kansas City",Yes,Dance,Kansas City Missouri US,1951-07-09,,1.0,1977.0,True
Kristen Wiig,1973-08-22,F,1.65,Irish Americans,33.0,6.405213094896849,Female,sub 1500 school,,Baseball,Canandaigua New York US,1973-08-22,,2.0,2000.0,False
Bernie Mac,1957-10-05,M,1.892,African Americans,36.0,6.402420644387403,Male,Did not go,,,Chicago Illinois,1957-10-05,,1.0,1977.0,False
Bill Hader,1978-06-07,M,1.85,,23.0,6.400768227425672,Male,Specialised Arts School,,Dance,Tulsa Oklahoma US,1978-06-07,,3.0,1999.0,False
Clark Gregg,1962-04-02,M,1.75,,27.0,6.400394480084671,Male,New York University (NYU),Yes,,Boston Massachusetts US,1962-04-02,,1.0,1988.0,True
Marisa Tomei,1964-12-04,F,1.64,Italian Americans,26.0,6.396466769580767,Female,Boston University,Yes,Dance,New York City US,1964-12-04,,,1983.0,True
Jake Gyllenhaal,1980-12-19,M,1.83,Swedish Americans,10.0,6.38614069981722,Male,Columbia University,,,Los Angeles California US,1980-12-19,,,1991.0,True
Clive Owen,1964-10-03,M,1.89,English people,36.0,6.379709816993738,Male,Specialised Drama School,,,Coventry England,1964-10-03,,2.0,1987.0,False
Cillian Murphy,1976-05-25,M,1.75,British,26.0,6.353566086032914,Male,University College Cork,Yes,,Cork Ireland,1976-05-25,,2.0,1996.0,True
Zooey Deschanel,1980-01-17,F,1.66,Irish Americans,19.0,6.35287208991432,Female,Northwestern University,Yes,,Los Angeles California US,1980-01-17,,2.0,1997.0,True
Penelope Ann Miller,1964-01-13,F,1.7,,23.0,6.350620526252117,Female,Did not go,Yes,,Los Angeles California US,1964-01-13,,2.0,1985.0,False
Jon Voight,1938-12-29,M,1.892,Slovak Americans,46.0,6.345660157407745,Male,sub 1500 school,Yes,,Yonkers New York US,1938-12-29,,,1961.0,False
David Thewlis,1963-03-20,M,1.89,English people,31.0,6.345372884490739,Male,Specialised Drama School,,,Blackpool Lancashire England,1963-03-20,,1.0,1985.0,False
Paul Giamatti,1967-06-06,M,1.74,Irish Americans,28.0,6.344241399555961,Male,Yale University,Yes,Baseball,New Haven Connecticut US,1967-06-06,,1.0,1989.0,True
Mila Kunis,1983-08-14,F,1.63,Russian Americans,17.0,6.338115492757234,Female,Did not go,,,Chernovtsi Ukrainian SSR Soviet Union now Chernivtsi Ukraine,1983-08-14,,2.0,1994.0,False
William Forsythe,1955-06-07,M,1.83,,28.0,6.333282856024433,,Did not go,,,,,,,,False
Rene Russo,1954-02-17,F,1.73,Italian Americans,35.0,6.329114067173692,Female,Did not go,Yes,,Burbank California US,1954-02-17,,1.0,1987.0,False
Imelda Staunton,1956-01-09,F,1.52,English people,37.0,6.305917419407113,Female,Specialised Drama School,Yes,,Archway London England,1956-01-09,,,1976.0,False
Anthony Hopkins,1937-12-31,M,1.74,Irish migration to Great Britain,46.0,6.297537580346323,Male,Specialised Drama School,,,Port Talbot Glamorgan Wales,1937-12-31,United KingdomUnited States1,1.0,1960.0,False
Tom Hardy,1977-09-15,M,1.78,English people,24.0,6.296453276798374,Male,Did not go,,,London England,1977-09-15,,3.0,1998.0,False
Laura Linney,1964-02-05,F,1.7,,28.0,6.279660128041271,Female,Brown University,Yes,,New York City US,1964-02-05,,1.0,1990.0,True
Clancy Brown,1959-01-05,M,1.918,,28.0,6.278359804169406,Male,Northwestern University,,,Urbana Ohio US,1959-01-05,,2.0,1983.0,True
Leonardo DiCaprio,1974-11-11,M,1.83,Russian Americans,20.0,6.272825064081153,Male,Did not go,,Dance,Los Angeles California US,1974-11-11,,,1989.0,False
Milla Jovovich,1975-12-17,F,1.74,Serbian Americans,15.0,6.26553668398163,Female,Did not go,,,Kiev Ukrainian SSR Soviet Union,1975-12-17,United States from 1994,3.0,1988.0,False
Christian Slater,1969-08-18,M,1.74,English Americans,18.0,6.264115418976894,Male,Colorado School of Mines,,,New York City US,1969-08-18,,4.0,1977.0,True
Ian Holm,1931-09-12,M,1.651,English people,49.0,6.26389761992375,Male,Specialised Drama School,Yes,,Goodmayes Essex England,1931-09-12,,5.0,1957.0,False
David Cross,1964-04-04,M,1.75,British Americans,32.0,6.259306575752749,Male,sub 1500 school,,,Roswell Georgia,1964-04-04,,1.0,1981.0,False
Anthony Anderson,1970-08-15,M,1.78,African Americans,28.0,6.248191276835968,Male,Howard University,Yes,,Compton California US,1970-08-15,,2.0,1995.0,True
Barbra Streisand,1942-04-24,F,1.65,American Jews,38.0,6.233943858803457,Female,Did not go,,,New York City US,1942-04-24,,,1960.0,False
Mark Williams,1959-08-22,M,1.85,English people,37.0,6.233529316937919,,Did not go,,,,,,,,False
John Krasinski,1979-10-20,M,1.91,Polish Americans,24.0,6.230980819160273,Male,Brown University,Yes,Basketball,Newton Massachusetts US,1979-10-20,,2.0,2000.0,True
Gary Cole,1956-09-20,M,1.8,,29.0,6.228529557635238,Male,Illinois State University,Yes,,Park Ridge Illinois US,1956-09-20,,1.0,1983.0,True
Ryan Phillippe,1974-09-10,M,1.75,French Americans,21.0,6.228190453789132,Male,Did not go,,,New Castle Delaware US,1974-09-10,,3.0,1992.0,False
Freddie Highmore,1992-02-14,M,1.78,English people,12.0,6.2190168671555535,Male,University of Cambridge,,,London England1,1992-02-14,,,1999.0,True
Ryan Reynolds,1976-10-23,M,1.88,,26.0,6.218414396874603,Male,Did not go,,,Vancouver British Columbia Canada,1976-10-23,CanadaUnited States,4.0,1991.0,False
Kevin James,1965-04-26,M,1.73,,38.0,6.215575733763804,Male,Did not go,,Football,Mineola New York US,1965-04-26,,4.0,1989.0,False
Luke Wilson,1971-09-21,M,1.83,Irish Americans,24.0,6.214629612701031,Male,sub 1500 school,,,Dallas Texas US,1971-09-21,,,1994.0,False
Orlando Bloom,1977-01-13,M,1.791,English people,19.0,6.209737871793079,Male,Specialised Drama School,Yes,,Canterbury Kent England,1977-01-13,,2.0,1994.0,False
Asa Butterfield,1997-04-01,M,1.47,,14.0,6.196703807440202,Male,Did not go,Yes,,London England,1997-04-01,,,2006.0,False
Tom Sizemore,1961-11-29,M,1.8,Welsh people,27.0,6.192256819906345,Male,Temple University,Yes,Dance,Detroit Michigan US,1961-11-29,,2.0,1989.0,True
Michael Jeter,1952-08-26,M,1.63,White Americans,36.0,6.191307656569348,Male,sub 1500 school,Yes,,Lawrenceburg Tennessee US,1952-08-26,,,1977.0,False
Sam Rockwell,1968-11-05,M,1.75,,21.0,6.1805029481004405,Male,sub 1500 school,,,Daly City California US,1968-11-05,,,1978.0,False
Michael Douglas,1944-09-25,M,1.78,Scotch-Irish Americans,39.0,6.179237189772403,Male,"University of California, Santa Barbara (UCSB)",Yes,,New Brunswick New Jersey US,1944-09-25,United StatesUnited Kingdom Bermuda1,3.0,1966.0,True
Salma Hayek,1966-09-02,F,1.57,Mexicans,29.0,6.177357101466134,Female,Universidad Iberoamericana IBERO,,,Coatzacoalcos Veracruz Mexico,1966-09-02,MexicoUnited StatesFrance,1.0,1988.0,True
Jeremy Renner,1971-01-07,M,1.753,,31.0,6.174791777917124,Male,sub 1500 school,,,Modesto California US,1971-01-07,,1.0,1995.0,False
Kristin Scott Thomas,1960-05-24,F,1.676,English people,33.0,6.172158271698337,Female,Specialised Drama School,Yes,,Redruth Cornwall England,1960-05-24,United Kingdom France,3.0,1984.0,False
Mark Strong,1963-08-30,M,1.88,,42.0,6.1681417100295794,Male,Royal Holloway University of London,Yes,Football,London England,1963-08-05,,2.0,1989.0,True
Jeremy Piven,1965-07-26,M,1.78,American Jews,20.0,6.167830968189211,Male,Did not go,,,New York City US,1965-07-26,,,1980.0,False
Matt Stone,1971-05-26,M,1.87,Irish Americans,26.0,6.160856115871019,Male,University of Colorado Boulder,,,Houston Texas US,1971-05-26,,2.0,1992.0,True
Chuck Norris,1940-03-10,M,1.78,Cherokee,40.0,6.15315995094621,Male,Did not go,,,Ryan Oklahoma US,1940-03-10,,5.0,1968.0,False
Viola Davis,1965-08-11,F,1.651,African Americans,37.0,6.148830656234565,Male,Specialised Music School,Yes,,St Matthews South Carolina US,1965-08-11,,1.0,1988.0,False
Blythe Danner,1943-02-03,F,1.7,Dutch Americans,44.0,6.146648552530272,Female,sub 1500 school,Yes,,Philadelphia Pennsylvania US,1943-02-03,,,1965.0,False
Michelle Monaghan,1976-03-23,F,1.7,,26.0,6.146542393543121,Female,sub 1500 school,,Dance,Winthrop Iowa US,1976-03-23,,2.0,2000.0,False
Orlando Jones,1968-04-10,M,1.8034,African Americans,30.0,6.145538636918369,Male,Did not go,,Baseball,Mobile Alabama,1968-04-10,,1.0,1987.0,False
Rowan Atkinson,1955-01-06,M,1.8,,27.0,6.1448649019949135,Male,Newcastle University,Yes,,Consett,1955-01-06,,3.0,1978.0,True
Ric Govea,1983-05-07,M,1.72,,22.0,6.138676224940617,,Did not go,,,,,,,,False
