Actor name,Actor date of birth,Actor gender,Actor height,Actor ethnicity,Actor age at movie release,Actor Score Index,Gender,University,Theater,Sports,Birth City,Date of Birth,Citizenship,Number of Children,Career Start
Halle Berry,1966-08-14,F,1.68,White people,25.0,7.338531839962864,Female,Cuyahoga Community College,,,Cleveland Ohio US,1966-08-14,,2,1989
Jean-Claude Van Damme,1960-10-18,M,1.78,,23.0,7.33322848242876,Male,,,Martial arts,,1960-10-18,,3,1976
Edward Norton,1969-08-18,M,1.83,,26.0,7.317067339807274,Male,Yale University BA,Yes,,Boston Massachusetts US,1969-08-18,,1,1993
Ewan McGregor,1971-03-31,M,1.79,Scottish people,22.0,7.269085054619262,,Guildhall School of Music and Drama,Yes,,Perth Scotland,1971-03-31,"United Kingdom, United States",5,1992
John Ratzenberger,1947-04-06,M,1.75,,35.0,7.199749780347181,Male,Sacred Heart University,,,Bridgeport Connecticut US,1947-04-06,,2,1973
Jeff Bridges,1949-12-04,M,1.85,,30.0,7.196568454918371,Male,,,,Los Angeles California US,1949-12-04,,3,1951
Dennis Quaid,1954-04-09,M,1.83,Cajun,26.0,7.170899474935617,Male,University of Houston,,Dance,Houston Texas US,1954-04-09,,3,1975
Helena Bonham Carter,1966-05-26,F,1.6,English people,19.0,7.156795152733395,Female,South Hampstead High SchoolWestminster School,,,Islington London England,1966-05-26,,2,1983
Scarlett Johansson,1984-11-22,F,1.63,Ashkenazi Jews,11.0,7.152287507877005,Female,,Yes,Dance,New York City US,1984-11-22,United StatesDenmark,2,1994
Tommy Lee Jones,1946-09-15,M,1.83,,36.0,7.13333454170402,Male,Harvard University AB,,,San Saba Texas US,1946-09-15,,2,1969
Martin Lawrence,1965-04-16,M,1.71,African Americans,26.0,7.132028277894992,Male,,,,Frankfurt,1965-04-16,,3,1987
Catherine O%27Hara,1954-03-04,F,1.63,Canadian Americans,29.0,7.125179133027009,Female,,Yes,,Toronto Ontario Canada,1954-03-04,CanadaUnited States,2,1974
Bruce McGill,1950-07-11,M,1.76,,38.0,7.102583425710106,Male,University of Texas at Austin BA Drama,,,San Antonio Texas US,1950-07-11,,,1977
Jackie Chan,1954-04-07,M,1.74,Hongkongers,27.0,6.991324874480819,Male,,,,,1954-04-07,,,
James Cromwell,1940-01-27,M,2.01,,44.0,6.988589406849584,Male,Carnegie Mellon University BFA,Yes,Tennis,Los Angeles California US,1940-01-27,,3,1974
Hugo Weaving,1960-04-04,M,1.88,,35.0,6.987010773581546,Male,National Institute of Dramatic Art BFA,,,Ibadan British Nigeria,1960-04-04,,2,1980
Steve Martin,1945-08-14,M,1.83,,36.0,6.972567264564901,Male,Santa Ana CollegeCalifornia State University Long BeachUniversity of California Los Angeles,Yes,,Waco Texas,1945-08-14,,1,1966
Steve Zahn,1967-11-13,M,1.71,,26.0,6.966010937738587,Male,Gustavus Adolphus CollegeHarvard University MFA,Yes,Dance,Marshall Minnesota US,1967-11-13,,2,1990
John Goodman,1952-06-20,M,1.88,White Americans,31.0,6.962529269882915,Male,Southwest Missouri State University,Yes,Football,Affton Missouri US,1952-06-20,,1,1975
Kate Beckinsale,1973-07-26,F,1.7,English people,19.0,6.954370077599975,Male,New College Oxford,Yes,,London England,1973-07-26,,1,1991
Liev Schreiber,1967-10-04,M,1.91,Jewish people,27.0,6.938946650166665,Male,Hampshire College BAYale University MFA,,,San Francisco California US,1967-10-04,,3,1992
Ben Stiller,1965-11-30,M,1.73,Jewish people,22.0,6.91285954253486,Male,University of California Los Angeles dropped out,Yes,,New York City US,1965-11-30,,2,1975
Justin Long,1978-06-02,M,1.74,White Americans,21.0,6.908168972841124,Male,Vassar College,Yes,,Fairfield Connecticut US,1978-06-02,,,1999
Will Ferrell,1967-07-16,M,1.91,,29.0,6.890997426844653,Male,University of Southern California BA,,Soccer,Irvine California US,1967-07-16,,3,1994
Tony Shalhoub,1953-10-09,M,1.772,Arab Americans,36.0,6.886852708891295,Male,University of Wisconsin Green BayUniversity of Southern Maine BAYale University MFA,,,Green Bay Wisconsin US,1953-10-09,,2,1980
Bill Nighy,1949-12-12,M,1.88,English people,53.0,6.875027851261173,Male,Guildford School of Acting,Yes,Dance,Caterham Surrey England,1949-12-12,,,1969
Jet Li,1963-04-26,M,1.676,,35.0,6.846453149878455,Male,,,Martial arts,Beijing China,1963-04-26,,4,1982
Seth Rogen,1982-04-15,M,1.797,Jewish people,18.0,6.843406333658884,Male,,,,Vancouver British Columbia Canada,1982-04-15,"Canada, United States",,1999
Greg Kinnear,1963-06-17,M,1.765,White Americans,31.0,6.84086948140622,Male,University of Arizona,,Football,Logansport Indiana US,1963-06-17,,3,1988
Keith David,1956-06-04,M,1.88,African Americans,26.0,6.840042891857433,Male,Juilliard School BFA,,,New York City US,1956-06-04,,3,1977
Daniel Radcliffe,1989-07-23,M,1.66,English people,11.0,6.821048218198468,Male,,,,London England,1989-07-23,,1,1999
Jason Bateman,1969-01-14,M,1.8,,18.0,6.8181417860398685,Male,,,,Rye New York US,1969-01-14,,2,1981
Julia Roberts,1967-10-28,F,1.75,English Americans,20.0,6.810305207070956,Female,,Yes,,Smyrna Georgia US,1967-10-28,,3,1987
Ian McKellen,1939-05-25,M,1.8,,44.0,6.797302891410213,Male,St Catharines College Cambridge BA,Yes,,Burnley Lancashire England,1939-05-25,,,1958
Sharon Stone,1958-03-10,F,1.74,Irish Americans,23.0,6.767340939933983,Female,,,,Meadville Pennsylvania US,1958-03-10,,3,1976
Oliver Platt,1960-01-12,M,1.92,Canadian Americans,28.0,6.766197601303641,Male,Tufts University,Yes,,Windsor Ontario Canada,1960-01-12,,3,1985
Jon Favreau,1966-10-19,M,1.83,Italians,27.0,6.7644645959730605,Male,Queens College,Yes,,New York City US,1966-10-19,,3,1988
Mel Gibson,1956-01-03,M,1.77,Australian Americans,28.0,6.755483552995625,Male,National Institute of Dramatic Art BFA,,,Peekskill New York US,1956-01-03,United StatesIreland12,9,1976
Kurt Russell,1951-03-17,M,1.78,,30.0,6.754952225291223,,Thousand Oaks High School,,Baseball,Springfield Massachusetts US,1951-03-17,,2,1962
Alan Tudyk,1971-03-16,M,1.83,,28.0,6.743781013321121,Male,Lon Morris CollegeJuilliard School,Yes,,El Paso Texas US,1971-03-16,,,1997
Sandra Bullock,1964-07-26,F,1.71,,28.0,6.738275207190205,Female,East Carolina University BFA,Yes,Ballet,Arlington County Virginia US,1964-07-26,United StatesGermany,2,1987
Ray Liotta,1954-12-18,M,1.83,Italian Americans,28.0,6.729521198022734,Male,University of Miami BFA,Yes,Baseball,Newark New Jersey US,1954-12-18,,1,1978
Angelina Jolie,1975-06-04,F,1.73,Slovak Americans,20.0,6.725789688064578,Female,,Yes,,Los Angeles California US,1975-06-04,"United States, Cambodiab",6,1982
Will Smith,1968-09-25,M,1.88,African Americans,24.0,6.724802052439553,Male,,,,Philadelphia Pennsylvania US,1968-09-25,,3,1985
Kevin Kline,1947-10-24,M,1.88,German Americans,35.0,6.722203673849374,Male,Indiana University Bloomington BAJuilliard School GrDip,Yes,,St Louis Missouri US,1947-10-24,,,1970
Anne Hathaway,1982-11-12,F,1.73,White people,20.0,6.718848834040433,Female,Vassar CollegeNew York University,Yes,Soccer,New York City US,1982-11-12,,2,1997
Maggie Smith,1934-12-28,F,1.651,English people,46.0,6.717731908281733,Female,British Film Institute Fellowship,Yes,,Ilford Essex England,1934-12-28,,,
John Leguizamo,1964-07-22,M,1.73,Hispanic and Latino Americans,25.0,6.712991058984781,,,Yes,,Bogotá Colombia,1960-07-22,ColombiaUnited States,2,1984
Patrick Swayze,1952-08-18,M,1.78,White people,30.0,6.705103869580478,Male,,,Dance,Houston Texas US,1952-08-18,,,1976
Jason Statham,1967-09-12,M,1.75,,33.0,6.6845693723263055,Male,,,Football,Shirebrook England,1967-07-26,,2,1993
Luis Guzmán,1956-08-28,M,1.71,Stateside Puerto Ricans,31.0,6.682296286823241,Male,"The City College of New York2, The American University",Yes,,Cayey Puerto Rico,1956-08-28,,,1976
Robert Redford,1936-08-18,M,1.75,English people,47.0,6.661388238906797,Male,University of Colorado BoulderPratt InstituteAmerican Academy of Dramatic Arts,,Baseball,Santa Monica California US,1936-08-18,,4,1958
John C. Reilly,1965-05-24,M,1.87,Lithuanian Americans,24.0,6.654605985901279,Male,DePaul University BFA,Yes,,Chicago Illinois US,1965-05-24,,2,1988
Joan Cusack,1962-10-11,F,1.75,Irish Americans,21.0,6.652161063520476,Female,University of WisconsinMadison,,,New York City US,1962-10-11,,2,1979
Juliette Lewis,1973-06-21,F,1.68,,15.0,6.640762334400893,Female,Old School,,,Los Angeles California US,1973-06-21,,,1980
David Spade,1964-07-22,M,1.7,,29.0,6.631514232330083,Male,Scottsdale Community CollegeArizona State University Tempe,,,Birmingham Michigan,1964-07-22,,1,1987
Kevin Dunn,1956-08-24,M,1.78,,34.0,6.621883714435534,Male,Illinois Wesleyan University,Yes,Football,Chicago Illinois US,1955-08-24,,1,1986
Cary Elwes,1962-10-26,M,1.83,Anglo-Irish people,24.0,6.621734503461305,Male,Sarah Lawrence College,Yes,,Westminster London England,1962-10-26,,1,1979
Brad Pitt,1963-12-18,M,1.8,,23.0,6.578643665236152,Male,University of Missourino degree,,Tennis,Shawnee Oklahoma US,1963-12-18,,6,1987
Ethan Suplee,1976-05-25,M,1.854,White Americans,19.0,6.573602498216039,Male,,Yes,Football,New York City US,1976-05-25,,4,1994
Josh Hartnett,1978-07-21,M,1.91,Swedes,20.0,6.569702332370487,Male,State University of New York at Purchase,Yes,Football,Saint Paul Minnesota US,1978-07-21,,4,1997
Dan Castellaneta,1957-10-29,M,1.78,,32.0,6.566375858627115,Male,Northern Illinois University BA,,,Chicago Illinois US,1957-10-29,,,1979
Eva Mendes,1974-03-05,F,1.68,Cuban Americans,24.0,6.5635972869630566,Female,,Yes,,Miami Florida US,1974-03-05,,2,1996
Ben Affleck,1972-08-15,M,1.89,Scottish Americans,19.0,6.562301040472941,Male,,Yes,Basketball,Berkeley California US,1972-08-15,,3,1981
John Michael Higgins,1963-02-12,M,1.8,,34.0,6.554448638588156,Male,Amherst College1,Yes,Track,Boston Massachusetts US,1963-02-12,,2,1985
Michael J. Fox,1961-06-09,M,1.63,Canadian Americans,24.0,6.527428543469401,Male,,Yes,,Edmonton Alberta Canada,1961-06-09,CanadaUnited States from 2000,4,1978
Rachel McAdams,1978-11-17,F,1.65,,26.0,6.526007056370421,Female,York University BFA,Yes,Soccer,London Ontario Canada,1978-11-17,,2,2001
Paul Walker,1973-09-12,M,1.86,Albanian Americans,24.0,6.514004865317192,Male,,,,Glendale California US,1973-09-12,,,1975
Queen Latifah,1970-03-18,F,1.78,African Americans,21.0,6.499523473962933,Male,,,Basketball,Newark New Jersey US,1970-03-18,,1,1988
Jennifer Aniston,1969-02-11,F,1.68,Italian Americans,23.0,6.476911511769444,Male,,,,Los Angeles California US,1969-02-11,,,1987
Woody Allen,1935-12-01,M,1.65,Jewish people,48.0,6.474079370622612,Male,,,Baseball,New York City US,1935-11-30,,5,1956
Kathy Bates,1948-06-28,F,1.6,,38.0,6.473791364596546,Female,Southern Methodist University BFA,Yes,,Memphis Tennessee US,1948-06-28,,,1969
Rob Schneider,1963-10-31,M,1.7,American Jews,27.0,6.465738450865835,Male,San Francisco State University,,,San Francisco California US,1963-10-31,,3,1987
Leslie Mann,1972-03-26,F,1.69,,23.0,6.464800528715736,Female,,,Dance,San Francisco California US,1972-03-26,,,1988
Tim Allen,1953-06-13,M,1.8,,41.0,6.453527750463037,Male,Western Michigan University BS,Yes,,Denver Colorado US,1953-06-13,,2,1975
Jean Dujardin,1972-06-19,M,1.82,,38.0,6.447021037356988,Male,,Yes,Track,RueilMalmaison France,1972-06-19,,4,1996
Keanu Reeves,1964-09-02,M,1.86,Irish people,24.0,6.446343069199163,Male,,Yes,,Beirut Lebanon,1964-09-02,Canada,1,1991
Philip Baker Hall,1931-09-10,M,1.68,,56.0,6.425951166233708,Male,,Yes,,Toledo Ohio US,1931-09-10,,4,1960
Sala Baker,1976-09-22,M,1.88,,25.0,6.421470969831975,Male,,,,Wellington New Zealand,1976-09-22,,,2001
Warwick Davis,1970-02-03,M,1.067,English people,11.0,6.411842515404095,Male,,,,Epsom Surrey England,1970-02-03,,3,1979
Jude Law,1972-12-29,M,1.82,English people,24.0,6.410013233898001,Male,,,,London England,1972-12-29,,7,1987
Antonio Banderas,1960-08-10,M,1.74,,31.0,6.408271111131634,Male,,Yes,Football,Málaga Spain,1960-08-10,,1,1982
Chris Cooper,1951-07-09,M,1.78,,44.0,6.407979818147541,Male,University of Missouri,Yes,Dance,Kansas City Missouri US,1951-07-09,,1,1977
Kristen Wiig,1973-08-22,F,1.65,Irish Americans,33.0,6.405213094896849,Female,Roanoke CollegeUniversity of Arizona,,Baseball,Canandaigua New York US,1973-08-22,,2,2000
Bernie Mac,1957-10-05,M,1.892,African Americans,36.0,6.402420644387403,Male,Chicago Vocational High School,,,Chicago Illinois,1957-10-05,,1,1977
Bill Hader,1978-06-07,M,1.85,,23.0,6.400768227425672,Male,Art Institute of PhoenixScottsdale Community College,,Dance,Tulsa Oklahoma US,1978-06-07,,3,1999
Clark Gregg,1962-04-02,M,1.75,,27.0,6.400394480084671,Male,New York University,Yes,,Boston Massachusetts US,1962-04-02,,1,1988
Marisa Tomei,1964-12-04,F,1.64,Italian Americans,26.0,6.396466769580767,Female,Boston University,Yes,Dance,New York City US,1964-12-04,,,1983
Jake Gyllenhaal,1980-12-19,M,1.83,Swedish Americans,10.0,6.38614069981722,Male,Columbia University,,,Los Angeles California US,1980-12-19,,,1991
Clive Owen,1964-10-03,M,1.89,English people,36.0,6.379709816993738,Male,Royal Academy of Dramatic Art BA,,,Coventry England,1964-10-03,,2,1987
Cillian Murphy,1976-05-25,M,1.75,British,26.0,6.353566086032914,Male,University College Cork no degree,Yes,,Cork Ireland,1976-05-25,,2,1996
Zooey Deschanel,1980-01-17,F,1.66,Irish Americans,19.0,6.35287208991432,Female,Northwestern University dropped out,Yes,,Los Angeles California US,1980-01-17,,2,1997
Penelope Ann Miller,1964-01-13,F,1.7,,23.0,6.350620526252117,Female,,Yes,,Los Angeles California US,1964-01-13,,2,1985
Jon Voight,1938-12-29,M,1.892,Slovak Americans,46.0,6.345660157407745,Male,Catholic University of America BA,Yes,,Yonkers New York US,1938-12-29,,,1961
David Thewlis,1963-03-20,M,1.89,English people,31.0,6.345372884490739,Male,Guildhall School of Music and Drama BA,,,Blackpool Lancashire England,1963-03-20,,1,1985
Paul Giamatti,1967-06-06,M,1.74,Irish Americans,28.0,6.344241399555961,Male,Yale University BA MFA,Yes,Baseball,New Haven Connecticut US,1967-06-06,,1,1989
Mila Kunis,1983-08-14,F,1.63,Russian Americans,17.0,6.338115492757234,Female,,,,Chernovtsi Ukrainian SSR Soviet Union now Chernivtsi Ukraine,1983-08-14,,2,1994
William Forsythe,1955-06-07,M,1.83,,28.0,6.333282856024433,,,,,,,,,
Rene Russo,1954-02-17,F,1.73,Italian Americans,35.0,6.329114067173692,Female,,Yes,,Burbank California US,1954-02-17,,1,1987
Imelda Staunton,1956-01-09,F,1.52,English people,37.0,6.305917419407113,Female,Royal Academy of Dramatic Art,Yes,,Archway London England,1956-01-09,,,1976
Anthony Hopkins,1937-12-31,M,1.74,Irish migration to Great Britain,46.0,6.297537580346323,Male,Royal Welsh College of Music DramaRoyal Academy of Dramatic Art,,,Port Talbot Glamorgan Wales,1937-12-31,United KingdomUnited States1,1,1960
Tom Hardy,1977-09-15,M,1.78,English people,24.0,6.296453276798374,Male,,,,London England,1977-09-15,,3,1998
Laura Linney,1964-02-05,F,1.7,,28.0,6.279660128041271,Female,Brown University BA Juilliard School GrDip,Yes,,New York City US,1964-02-05,,1,1990
Clancy Brown,1959-01-05,M,1.918,,28.0,6.278359804169406,Male,Northwestern University BS,,,Urbana Ohio US,1959-01-05,,2,1983
Leonardo DiCaprio,1974-11-11,M,1.83,Russian Americans,20.0,6.272825064081153,Male,,,Dance,Los Angeles California US,1974-11-11,,,1989
Milla Jovovich,1975-12-17,F,1.74,Serbian Americans,15.0,6.26553668398163,Female,,,,Kiev Ukrainian SSR Soviet Union,1975-12-17,United States from 1994,3,1988
Christian Slater,1969-08-18,M,1.74,English Americans,18.0,6.264115418976894,Male,School,,,New York City US,1969-08-18,,4,1977
Ian Holm,1931-09-12,M,1.651,English people,49.0,6.26389761992375,Male,Royal Academy of Dramatic Art,Yes,,Goodmayes Essex England,1931-09-12,,5,1957
David Cross,1964-04-04,M,1.75,British Americans,32.0,6.259306575752749,Male,Emerson College,,,Roswell Georgia,1964-04-04,,1,1981
Anthony Anderson,1970-08-15,M,1.78,African Americans,28.0,6.248191276835968,Male,Howard University BFA,Yes,,Compton California US,1970-08-15,,2,1995
Barbra Streisand,1942-04-24,F,1.65,American Jews,38.0,6.233943858803457,Female,Erasmus Hall High School,,,New York City US,1942-04-24,,,1960
Mark Williams,1959-08-22,M,1.85,English people,37.0,6.233529316937919,,,,,,,,,
John Krasinski,1979-10-20,M,1.91,Polish Americans,24.0,6.230980819160273,Male,Brown University BA,Yes,Basketball,Newton Massachusetts US,1979-10-20,,2,2000
Gary Cole,1956-09-20,M,1.8,,29.0,6.228529557635238,Male,Illinois State University BFA,Yes,,Park Ridge Illinois US,1956-09-20,,1,1983
Ryan Phillippe,1974-09-10,M,1.75,French Americans,21.0,6.228190453789132,Male,,,,New Castle Delaware US,1974-09-10,,3,1992
Freddie Highmore,1992-02-14,M,1.78,English people,12.0,6.2190168671555535,Male,Emmanuel College Cambridge,,,London England1,1992-02-14,,,1999
Ryan Reynolds,1976-10-23,M,1.88,,26.0,6.218414396874603,Male,,,,Vancouver British Columbia Canada,1976-10-23,CanadaUnited States,4,1991
Kevin James,1965-04-26,M,1.73,,38.0,6.215575733763804,Male,,,Football,Mineola New York US,1965-04-26,,4,1989
Luke Wilson,1971-09-21,M,1.83,Irish Americans,24.0,6.214629612701031,Male,Old School,,,Dallas Texas US,1971-09-21,,,1994
Orlando Bloom,1977-01-13,M,1.791,English people,19.0,6.209737871793079,Male,Guildhall School of Music and Drama BA,Yes,,Canterbury Kent England,1977-01-13,,2,1994
Asa Butterfield,1997-04-01,M,1.47,,14.0,6.196703807440202,Male,,Yes,,London England,1997-04-01,,,2006
Tom Sizemore,1961-11-29,M,1.8,Welsh people,27.0,6.192256819906345,Male,Wayne State University BATemple University MA,Yes,Dance,Detroit Michigan US,1961-11-29,,2,1989
Michael Jeter,1952-08-26,M,1.63,White Americans,36.0,6.191307656569348,Male,Memphis State University,Yes,,Lawrenceburg Tennessee US,1952-08-26,,,1977
Sam Rockwell,1968-11-05,M,1.75,,21.0,6.1805029481004405,Male,William Esper Studio,,,Daly City California US,1968-11-05,,,1978
Michael Douglas,1944-09-25,M,1.78,Scotch-Irish Americans,39.0,6.179237189772403,Male,University of California Santa Barbara BA 1968,Yes,,New Brunswick New Jersey US,1944-09-25,United StatesUnited Kingdom Bermuda1,3,1966
Salma Hayek,1966-09-02,F,1.57,Mexicans,29.0,6.177357101466134,Female,Universidad Iberoamericana,,,Coatzacoalcos Veracruz Mexico,1966-09-02,MexicoUnited StatesFrance,1,1988
Jeremy Renner,1971-01-07,M,1.753,,31.0,6.174791777917124,Male,Modesto Junior College,,,Modesto California US,1971-01-07,,1,1995
Kristin Scott Thomas,1960-05-24,F,1.676,English people,33.0,6.172158271698337,Female,Royal Central School of Speech and Drama,Yes,,Redruth Cornwall England,1960-05-24,United Kingdom France,3,1984
Mark Strong,1963-08-30,M,1.88,,42.0,6.1681417100295794,Male,Royal Holloway University of LondonBristol Old Vic Theatre School,Yes,Football,London England,1963-08-05,,2,1989
Jeremy Piven,1965-07-26,M,1.78,American Jews,20.0,6.167830968189211,Male,,,,New York City US,1965-07-26,,,1980
Matt Stone,1971-05-26,M,1.87,Irish Americans,26.0,6.160856115871019,Male,University of Colorado Boulder BA,,,Houston Texas US,1971-05-26,,2,1992
Chuck Norris,1940-03-10,M,1.78,Cherokee,40.0,6.15315995094621,Male,,,,Ryan Oklahoma US,1940-03-10,,5,1968
Viola Davis,1965-08-11,F,1.651,African Americans,37.0,6.148830656234565,Male,Rhode Island College BAJuilliard School GrDip,Yes,,St Matthews South Carolina US,1965-08-11,,1,1988
Blythe Danner,1943-02-03,F,1.7,Dutch Americans,44.0,6.146648552530272,Female,Bard College,Yes,,Philadelphia Pennsylvania US,1943-02-03,,,1965
Michelle Monaghan,1976-03-23,F,1.7,,26.0,6.146542393543121,Female,Columbia College Chicago,,Dance,Winthrop Iowa US,1976-03-23,,2,2000
Orlando Jones,1968-04-10,M,1.8034,African Americans,30.0,6.145538636918369,Male,,,Baseball,Mobile Alabama,1968-04-10,,1,1987
Rowan Atkinson,1955-01-06,M,1.8,,27.0,6.1448649019949135,Male,"Newcastle University BSc, The Queens College Oxford MSc",Yes,,Consett,1955-01-06,,3,1978
Ric Govea,1983-05-07,M,1.72,,22.0,6.138676224940617,,,,,,,,,
Ray Winstone,1957-02-19,M,1.78,English people,46.0,6.135583470836147,Male,,Yes,,Homerton London England,1957-02-19,,3,1976
Morris Chestnut,1969-01-01,M,1.83,African Americans,22.0,6.135415597538576,Male,,,,Cerritos California US,1969-01-01,,2,1990
Terence Stamp,1938-07-22,M,1.829,English people,46.0,6.132012023784895,Male,Webber Douglas Academy of Dramatic Art,,,Stepney London England,1938-07-22,,,1960
Miranda Otto,1967-12-16,F,1.651,,31.0,6.129022880382212,Male,National Institute of Dramatic Art BFA,Yes,,Brisbane Queensland Australia,1967-12-16,,1,1986
Nia Vardalos,1962-09-24,F,1.67,Greek Canadians,39.0,6.128247220575838,Female,Toronto Metropolitan University BFA,Yes,Dance,Winnipeg Manitoba Canada,1962-09-24,,1,1996
Heath Ledger,1979-04-04,M,1.85,Irish Australians,19.0,6.127908214402143,Male,,,,Perth Western Australia Australia,1979-04-04,,1,1992
James Remar,1953-12-31,M,1.79,,26.0,6.124859268597908,Male,Neighborhood Playhouse School of the Theatre,Yes,,Boston Massachusetts US,1953-12-31,,2,1978
Penélope Cruz,1974-04-28,F,1.68,Spaniards,25.0,6.11515051892106,Female,,Yes,Ballet,Alcobendas Spain,1974-04-28,,2,1989
Mark Ferguson,1961-02-28,M,1.91,,40.0,6.092079338760247,Male,,,,,,,,1981
