Actor name,Actor date of birth,Actor gender,Actor height,Actor ethnicity,Actor age at movie release,Actor Score Index
tommy_lee_jones,1946-09-15,M,1.83,,36.0,7.13333454170402
martin_lawrence,1965-04-16,M,1.71,/m/0x67,26.0,7.132028277894992
catherine_o'hara,1954-03-04,F,1.63,/m/0g8_vp,29.0,7.125179133027009
bruce_mcgill,1950-07-11,M,1.76,,38.0,7.102583425710106
jackie_chan,1954-04-07,M,1.74,/m/03bx0k4,27.0,6.991324874480819
james_cromwell,1940-01-27,M,2.01,,44.0,6.988589406849584
hugo_weaving,1960-04-04,M,1.88,,35.0,6.987010773581546
steve_martin,1945-08-14,M,1.83,,36.0,6.972567264564901
steve_zahn,1967-11-13,M,1.71,,26.0,6.966010937738587
john_goodman,1952-06-20,M,1.88,/m/07hwkr,31.0,6.962529269882915
kate_beckinsale,1973-07-26,F,1.7,/m/02w7gg,19.0,6.954370077599975
liev_schreiber,1967-10-04,M,1.91,/m/041rx,27.0,6.938946650166665
ben_stiller,1965-11-30,M,1.73,/m/041rx,22.0,6.91285954253486
justin_long,1978-06-02,M,1.74,/m/07hwkr,21.0,6.908168972841124
will_ferrell,1967-07-16,M,1.91,,29.0,6.890997426844653
tony_shalhoub,1953-10-09,M,1.772,/m/0150zs,36.0,6.886852708891295
bill_nighy,1949-12-12,M,1.88,/m/02w7gg,53.0,6.875027851261173
jet_li,1963-04-26,M,1.676,/m/02p1pl6,35.0,6.846453149878455
seth_rogen,1982-04-15,M,1.797,/m/041rx,18.0,6.8434063336588835
greg_kinnear,1963-06-17,M,1.765,/m/07hwkr,31.0,6.84086948140622
keith_david,1956-06-04,M,1.88,/m/0x67,26.0,6.840042891857433
daniel_radcliffe,1989-07-23,M,1.66,/m/02w7gg,11.0,6.8210482181984675
jason_bateman,1969-01-14,M,1.8,,18.0,6.8181417860398685
julia_roberts,1967-10-28,F,1.75,/m/09vc4s,20.0,6.810305207070956
ian_mckellen,1939-05-25,M,1.8,,44.0,6.797302891410213
sharon_stone,1958-03-10,F,1.74,/m/033tf_,23.0,6.767340939933983
oliver_platt,1960-01-12,M,1.92,/m/0g8_vp,28.0,6.766197601303641
jon_favreau,1966-10-19,M,1.83,/m/0222qb,27.0,6.7644645959730605
mel_gibson,1956-01-03,M,1.77,/m/03gskx0,28.0,6.755483552995625
kurt_russell,1951-03-17,M,1.78,,30.0,6.754952225291223
alan_tudyk,1971-03-16,M,1.83,,28.0,6.743781013321121
sandra_bullock,1964-07-26,F,1.71,,28.0,6.738275207190205
ray_liotta,1954-12-18,M,1.83,/m/0xnvg,28.0,6.729521198022734
angelina_jolie,1975-06-04,F,1.73,/m/027n1m6,20.0,6.725789688064578
will_smith,1968-09-25,M,1.88,/m/0x67,24.0,6.724802052439553
kevin_kline,1947-10-24,M,1.88,/m/01qhm_,35.0,6.722203673849374
anne_hathaway,1982-11-12,F,1.73,/m/02ctzb,20.0,6.718848834040433
maggie_smith,1934-12-28,F,1.651,/m/02w7gg,46.0,6.717731908281733
john_leguizamo,1964-07-22,M,1.73,/m/025rpb0,25.0,6.712991058984781
patrick_swayze,1952-08-18,M,1.78,/m/02ctzb,30.0,6.705103869580478
jason_statham,1967-09-12,M,1.75,,33.0,6.6845693723263055
luis_guzmán,1956-08-28,M,1.71,/m/0gkxl2,31.0,6.682296286823241
robert_redford,1936-08-18,M,1.75,/m/02w7gg,47.0,6.661388238906797
john_c._reilly,1965-05-24,M,1.87,/m/0ffkb4,24.0,6.654605985901279
joan_cusack,1962-10-11,F,1.75,/m/033tf_,21.0,6.6521610635204755
juliette_lewis,1973-06-21,F,1.68,,15.0,6.640762334400893
david_spade,1964-07-22,M,1.7,,29.0,6.631514232330083
kevin_dunn,1956-08-24,M,1.78,,34.0,6.621883714435534
cary_elwes,1962-10-26,M,1.83,/m/0152s7,24.0,6.621734503461305
tom_kenny,1962-07-13,M,,,40.0,6.5835794320098735
brad_pitt,1963-12-18,M,1.8,,23.0,6.578643665236152
ethan_suplee,1976-05-25,M,1.854,/m/07hwkr,19.0,6.573602498216039
josh_hartnett,1978-07-21,M,1.91,/m/06mvq,20.0,6.569702332370487
dan_castellaneta,1957-10-29,M,1.78,,32.0,6.566375858627115
eva_mendes,1974-03-05,F,1.68,/m/04dbw3,24.0,6.5635972869630566
ben_affleck,1972-08-15,M,1.89,/m/07bch9,19.0,6.562301040472941
john_michael_higgins,1963-02-12,M,1.8,,34.0,6.5544486385881555
michael_j._fox,1961-06-09,M,1.63,/m/0g8_vp,24.0,6.527428543469401
rachel_mcadams,1978-11-17,F,1.65,,26.0,6.526007056370421
paul_walker,1973-09-12,M,1.86,/m/0ffhz3,24.0,6.514004865317192
queen_latifah,1970-03-18,F,1.78,/m/0x67,21.0,6.499523473962933
jennifer_aniston,1969-02-11,F,1.68,/m/0xnvg,23.0,6.476911511769444
woody_allen,1935-12-01,M,1.65,/m/041rx,48.0,6.474079370622612
kathy_bates,1948-06-28,F,1.6,,38.0,6.473791364596546
rob_schneider,1963-10-31,M,1.7,/m/048z7l,27.0,6.465738450865835
leslie_mann,1972-03-26,F,1.69,,23.0,6.4648005287157355
tim_allen,1953-06-13,M,1.8,,41.0,6.453527750463037
jean_dujardin,1972-06-19,M,1.82,,38.0,6.447021037356988
keanu_reeves,1964-09-02,M,1.86,/m/03bkbh,24.0,6.446343069199163
philip_baker_hall,1931-09-10,M,1.68,,56.0,6.425951166233708
sala_baker,1976-09-22,M,1.88,,25.0,6.421470969831975
warwick_davis,1970-02-03,M,1.067,/m/02w7gg,11.0,6.4118425154040946
jude_law,1972-12-29,M,1.82,/m/02w7gg,24.0,6.410013233898001
antonio_banderas,1960-08-10,M,1.74,,31.0,6.408271111131634
chris_cooper,1951-07-09,M,1.78,,44.0,6.407979818147541
kristen_wiig,1973-08-22,F,1.65,/m/033tf_,33.0,6.405213094896849
christopher_knights,,M,,,,6.40296175048178
bernie_mac,1957-10-05,M,1.892,/m/0x67,36.0,6.402420644387403
bill_hader,1978-06-07,M,1.85,,23.0,6.400768227425672
clark_gregg,1962-04-02,M,1.75,,27.0,6.400394480084671
marisa_tomei,1964-12-04,F,1.64,/m/0xnvg,26.0,6.396466769580767
jake_gyllenhaal,1980-12-19,M,1.83,/m/065b6q,10.0,6.38614069981722
clive_owen,1964-10-03,M,1.89,/m/02w7gg,36.0,6.379709816993738
cillian_murphy,1976-05-25,M,1.75,/m/0d7wh,26.0,6.353566086032914
zooey_deschanel,1980-01-17,F,1.66,/m/033tf_,19.0,6.35287208991432
penelope_ann_miller,1964-01-13,F,1.7,,23.0,6.350620526252117
jon_voight,1938-12-29,M,1.892,/m/027n1m6,46.0,6.345660157407745
david_thewlis,1963-03-20,M,1.89,/m/02w7gg,31.0,6.345372884490739
paul_giamatti,1967-06-06,M,1.74,/m/033tf_,28.0,6.344241399555961
mila_kunis,1983-08-14,F,1.63,/m/09kr66,17.0,6.338115492757234
conrad_vernon,1968-07-11,M,,,32.0,6.334465240525454
william_forsythe,1955-06-07,M,1.83,,28.0,6.333282856024433
rene_russo,1954-02-17,F,1.73,/m/0xnvg,35.0,6.329114067173692
imelda_staunton,1956-01-09,F,1.52,/m/02w7gg,37.0,6.305917419407113
sarah_mcleod,1971-07-18,F,,,30.0,6.301924351613687
noel_appleby,,M,,,,6.301924351613687
anthony_hopkins,1937-12-31,M,1.74,/m/02g7sp,46.0,6.297537580346323
tom_hardy,1977-09-15,M,1.78,/m/02w7gg,24.0,6.296453276798374
laura_linney,1964-02-05,F,1.7,,28.0,6.279660128041271
clancy_brown,1959-01-05,M,1.918,,28.0,6.278359804169406
leonardo_dicaprio,1974-11-11,M,1.83,/m/09kr66,20.0,6.272825064081153
milla_jovovich,1975-12-17,F,1.74,/m/0268d21,15.0,6.26553668398163
christian_slater,1969-08-18,M,1.74,/m/09vc4s,18.0,6.264115418976894
ian_holm,1931-09-12,M,1.651,/m/02w7gg,49.0,6.26389761992375
david_cross,1964-04-04,M,1.75,/m/03vv99,32.0,6.259306575752749
anthony_anderson,1970-08-15,M,1.78,/m/0x67,28.0,6.248191276835968
barbra_streisand,1942-04-24,F,1.65,/m/048z7l,38.0,6.233943858803457
mark_williams,1959-08-22,M,1.85,/m/02w7gg,37.0,6.2335293169379185
john_krasinski,1979-10-20,M,1.91,/m/022dp5,24.0,6.230980819160273
gary_cole,1956-09-20,M,1.8,,29.0,6.228529557635238
ryan_phillippe,1974-09-10,M,1.75,/m/06v41q,21.0,6.228190453789132
freddie_highmore,1992-02-14,M,1.78,/m/02w7gg,12.0,6.2190168671555535
ryan_reynolds,1976-10-23,M,1.88,/m/044038p,26.0,6.218414396874603
kevin_james,1965-04-26,M,1.73,,38.0,6.215575733763804
luke_wilson,1971-09-21,M,1.83,/m/033tf_,24.0,6.214629612701031
orlando_bloom,1977-01-13,M,1.791,/m/02w7gg,19.0,6.209737871793079
ivana_baquero,1994-06-11,F,,,11.0,6.197429723225017
asa_butterfield,1997-04-01,M,1.47,,14.0,6.196703807440202
tom_sizemore,1961-11-29,M,1.8,/m/06gbnc,27.0,6.192256819906345
michael_jeter,1952-08-26,M,1.63,/m/07hwkr,36.0,6.191307656569348
sam_rockwell,1968-11-05,M,1.75,,21.0,6.1805029481004405
michael_douglas,1944-09-25,M,1.78,/m/063k3h,39.0,6.179237189772403
salma_hayek,1966-09-02,F,1.57,/m/09k5jvk,29.0,6.177357101466134
jeremy_renner,1971-01-07,M,1.753,,31.0,6.1747917779171235
kristin_scott_thomas,1960-05-24,F,1.676,/m/02w7gg,33.0,6.172158271698337
mark_strong,1963-08-30,M,1.88,,42.0,6.1681417100295794
jeremy_piven,1965-07-26,M,1.78,/m/048z7l,20.0,6.167830968189211
matt_stone,1971-05-26,M,1.87,/m/033tf_,26.0,6.160856115871019
chuck_norris,1940-03-10,M,1.78,/m/0dbxy,40.0,6.15315995094621
dileep_rao,1973-07-29,M,,,36.0,6.15000596789041
viola_davis,1965-08-11,F,1.651,/m/0x67,37.0,6.148830656234565
blythe_danner,1943-02-03,F,1.7,/m/07mqps,44.0,6.146648552530272
michelle_monaghan,1976-03-23,F,1.7,,26.0,6.146542393543121
orlando_jones,1968-04-10,M,1.8034,/m/0x67,30.0,6.145538636918369
rowan_atkinson,1955-01-06,M,1.8,,27.0,6.1448649019949135
ric_govea,1983-05-07,M,1.72,,22.0,6.138676224940617
ray_winstone,1957-02-19,M,1.78,/m/02w7gg,46.0,6.135583470836147
morris_chestnut,1969-01-01,M,1.83,/m/0x67,22.0,6.135415597538576
terence_stamp,1938-07-22,M,1.829,/m/02w7gg,46.0,6.132012023784895
miranda_otto,1967-12-16,F,1.651,,31.0,6.129022880382212
nia_vardalos,1962-09-24,F,1.67,/m/067lrj,39.0,6.128247220575838
heath_ledger,1979-04-04,M,1.85,/m/07hyjp,19.0,6.127908214402143
james_remar,1953-12-31,M,1.79,,26.0,6.124859268597908
paul_norell,1952-02-11,M,,,51.0,6.123134420517547
alexandra_astin,1996-11-27,F,,,7.0,6.123134420517547
penélope_cruz,1974-04-28,F,1.68,/m/03ttfc,25.0,6.11515051892106
peter_mckenzie,,M,,,,6.0920793387602465
michael_elsworth,1932-06-12,,,,69.0,6.0920793387602465
mark_ferguson,1961-02-28,M,1.91,,40.0,6.0920793387602465
megan_edwards,,F,,,,6.0920793387602465
alan_howard,1937-08-05,M,,,64.0,6.0920793387602465
tyler_long,,M,,,,6.088932627881566
ione_m._telech,,,,,,6.088932627881566
george_kelly,,,,,,6.088932627881566
michael_conner_humphreys,1985,M,,,9.0,6.088932627881566
sonny_shroyer,1935-08-28,M,1.89,,58.0,6.088932627881566
christine_seabrook,,,,,,6.088932627881566
margo_moorer,,,,,,6.088932627881566
john_randall,,,,,,6.088932627881566
john_worsham,,,,,,6.088932627881566
rebecca_williams,,F,,,,6.088932627881566
harold_herthum,1929-04-11,M,,,65.0,6.088932627881566
jeremy_irvine,1990,M,1.85,,21.0,6.085002552991146
robert_macnaughton,1966-12-19,M,,/m/07hwkr,15.0,6.076650455475384
sean_frye,1966-09-16,M,1.87,,15.0,6.076650455475384
pat_welsh,1915-02-11,F,,,67.0,6.076650455475384
k._c._martel,1967-09-14,M,,,14.0,6.076650455475384
michael_durrell,1943-10-06,M,,,38.0,6.076650455475384
marcia_gay_harden,1959-08-14,F,1.638,,36.0,6.06863021332208
liam_neeson,1952-06-07,M,1.93,/m/03bkbh,28.0,6.065778834015692
elisabeth_shue,1963-10-06,F,1.57,,20.0,6.064698979905614
cheech_marin,1946-07-13,M,1.68,/m/025rpb0,36.0,6.06374370893615
ted_raimi,1965-12-14,M,1.87,,15.0,6.062269676893472
john_mahoney,1940-06-20,M,1.73,/m/09vc4s,46.0,6.059409015183102
shia_labeouf,1986-06-11,M,1.759,/m/041rx,16.0,6.047960362359485
r._lee_ermey,1944-03-24,M,1.82,,43.0,6.0425309520864445
sean_anthony_moran,,,,,,6.03605929609072
jason_whyte,,,,,,6.03605929609072
scott_lawrence,1963-09-27,M,,,46.0,6.03605929609072
winona_ryder,1971-10-29,F,1.61,/m/041rx,14.0,6.035618492171684
bryce_dallas_howard,1981-03-02,F,1.73,,8.0,6.028194834064425
dominic_monaghan,1976-12-08,M,1.7,,25.0,6.019399490976195
geraldine_somerville,1967-05-19,F,,/m/02g7sp,33.0,6.0120434947407615
vincent_cassel,1966-11-23,M,1.861,/m/03ts0c,31.0,6.003348458642667
angela_bassett,1958-08-16,F,1.63,/m/0x67,27.0,6.0019669093819354
jonathan_sagall,1959-04-23,M,,,34.0,5.999587194401177
miri_fabian,,F,,,,5.999587194401177
adi_nitzan,,,,,,5.999587194401177
harry_nehring,,,,,,5.999587194401177
krzysztof_luft,,,,,,5.999587194401177
malgoscha_gebel,,,,,,5.999587194401177
ezra_dagan,,,,,,5.999587194401177
shmulik_levy,,,,,,5.999587194401177
olaf_lubaszenko,1968-12-06,M,,,24.0,5.999587194401177
anna_mucha,1980-04-26,F,,,13.0,5.999587194401177
beata_paluch,,,,,,5.999587194401177
beata_nowak,,,,,,5.999587194401177
aldona_grochal,,,,,,5.999587194401177
albert_misak,,,,,,5.999587194401177
friedrich_von_thun,1942-06-30,M,,,51.0,5.999587194401177
katherine_heigl,1978-11-24,F,1.75,/m/013xrm,14.0,5.999085648377449
kevin_mcnally,1956-04-27,M,1.78,/m/02w7gg,31.0,5.995685269945474
thomas_mccarthy,1966-01-30,M,1.8,/m/07hwkr,34.0,5.993020719961174
patrick_dempsey,1966-01-13,M,1.79,/m/033tf_,25.0,5.989510278103663
jared_leto,1971-12-26,M,1.75,,23.0,5.984785051920611
billy_boyd,1968-08-28,M,1.69,,20.0,5.984052840280322
teddy_newton,,M,,,,5.979597165388188
seann_william_scott,1976-10-03,M,1.8,,22.0,5.978616997356717
alanna_ubach,1975-10-03,F,1.57,/m/01g7zj,17.0,5.974579111961954
judge_reinhold,1957-05-21,M,1.88,,24.0,5.972743793777891
eddie_izzard,1962-02-07,M,1.702,/m/0d7wh,36.0,5.972122633445934
gerardo_taracena,1970,M,,,36.0,5.971662776745054
william_hurt,1950-03-20,M,1.88,/m/02ctzb,33.0,5.971218400702294
russell_crowe,1964-04-07,M,1.8,/m/05748,30.0,5.9702524686943725
david_krumholtz,1978-05-15,M,1.68,/m/041rx,15.0,5.961409526545035
delroy_lindo,1952-11-18,M,1.93,/m/0283js_,38.0,5.9591181551968715
sean_penn,1960-08-17,M,1.77,/m/041rx,20.0,5.958792096200113
denis_o'hare,1962-01-16,M,1.73,/m/033tf_,41.0,5.955190043872072
toby_jones,1966-09-07,M,1.65,/m/0d7wh,36.0,5.954938121051066
robert_hardy,1925-10-29,M,,,69.0,5.9532974800169765
bob_balaban,1945-08-16,M,1.65,/m/041rx,35.0,5.948984657746082
zoe_saldana,1978-06-19,F,1.7,/m/0912ll,21.0,5.94094548526078
michael_spears,1977-12-28,M,,/m/0fk3s,12.0,5.939023100163267
jimmy_herman,,M,,,,5.939023100163267
josh_hutcherson,1992-10-12,M,1.7,,12.0,5.9281465191651925
jodie_foster,1962-11-19,F,1.6,/m/09vc4s,21.0,5.920157345827908
paul_sorvino,1939-04-13,M,1.905,/m/0xnvg,41.0,5.913027066954288
andy_serkis,1964-04-20,M,1.73,,37.0,5.912763106410955
kris_kristofferson,1936-06-22,M,1.79,/m/065b6q,44.0,5.9097668401399845
himanshu_tyagi,,M,,,,5.906506376809341
shruti_seth,1977-12-18,F,1.64,/m/0dryh9k,30.0,5.906506376809341
tanvi_ganesh_lonkar,1995-03-05,F,,,13.0,5.906506376809341
mahesh_manjrekar,1958-08-16,M,1.78,,50.0,5.906506376809341
tanay_chheda,1996-06-27,M,,/m/0dryh9k,12.0,5.906506376809341
jeneva_talwar,,F,,,,5.906506376809341
sharib_hashmi,,M,,,,5.906506376809341
sitaram_panchal,,M,,,,5.906506376809341
feroze_khan,,M,,,,5.906506376809341
madhur_mittal,1988,M,,,20.0,5.906506376809341
rajendranath_zutshi,1961-02-04,M,,/m/023mqw,47.0,5.906506376809341
ankur_vikal,,M,,,,5.906506376809341
azharuddin_mohammed_ismail,1998,M,,,10.0,5.906506376809341
sunil_kumar_agrawal,,M,,,,5.906506376809341
ashutosh_lobo_gajiwala,1993-05-17,M,,,15.0,5.906506376809341
saurabh_shukla,,M,,,,5.906506376809341
sarfaraz_khan,1976-04-22,M,,,32.0,5.906506376809341
imran_hasnee,1968-12-01,M,,/m/0dryh9k,39.0,5.906506376809341
rubina_ali,1999-01-21,F,,,9.0,5.906506376809341
ayush_mahesh_khedekar,2000,M,,,8.0,5.906506376809341
sanchita_choudhary,,F,,,,5.906506376809341
anil_kapoor,1959-12-24,M,1.8,,48.0,5.906506376809341
zoe_leader,1949,F,,,45.0,5.905752426719191
niketa_calame,1980-11-10,F,,/m/0x67,13.0,5.905752426719191
anna_maguire,,F,,,,5.901453872077345
adam_shaw,1974-04-11,M,,,24.0,5.901453872077345
gary_sefton,,M,,,,5.901453872077345
marc_cass,,,,,,5.901453872077345
markus_napier,,M,,,,5.901453872077345
julian_spencer,,M,,,,5.901453872077345
rolf_saxon,1955,M,1.85,,43.0,5.901453872077345
steve_griffin,,M,,,,5.901453872077345
william_marsh,,M,,,,5.901453872077345
fred_willard,1939-09-18,M,1.867,,44.0,5.900669298997048
jennifer_tilly,1958-09-16,F,1.69,/m/04y8_bm,29.0,5.898601865511669
jack_black,1969-08-28,M,1.68,/m/07bch9,24.0,5.898162820330067
brian_dennehy,1938-07-09,M,1.905,/m/033tf_,44.0,5.892538303670533
john_leigh,1965,M,,,37.0,5.890562953766136
bruce_hopkins,1955-11-25,M,,,47.0,5.890562953766136
sam_comery,,M,,,,5.890562953766136
robbie_magasiva,1972,M,,,30.0,5.890562953766136
ray_trickett,,,,,,5.890562953766136
paris_howe_strewe,,M,,,,5.890562953766136
john_bach,1946-06-05,M,,,56.0,5.890562953766136
olivia_tennet,1991-01-04,F,,,11.0,5.890562953766136
stephen_ure,1958-03-28,M,,,44.0,5.890562953766136
calum_gittins,1986-07-16,M,,,16.0,5.890562953766136
walter_walsh,,,,,,5.890562953766136
nia_long,1970-10-30,F,1.57,/m/04608z,20.0,5.890100613386793
tai-li_lee,,M,,,,5.8891770813562205
yuji_okumoto,1959-04-20,M,1.85,/m/0cn68,51.0,5.8891770813562205
james_gandolfini,1961-09-18,M,1.848,/m/0xnvg,30.0,5.887872045321466
peter_cullen,1941-07-28,M,1.73,/m/0g8_vp,42.0,5.877516027139709
ara_celi,1974-05-31,F,,,25.0,5.877204953892166
sue_casey,1926-04-08,F,,,73.0,5.877204953892166
ian_mune,1941,M,,,52.0,5.8771266877845525
nick_swardson,1976-10-09,M,1.75,/m/04q7gbh,23.0,5.874967532533853
joan_allen,1956-08-20,F,1.778,,29.0,5.873117585755821
lorelei_leslie,,F,,,,5.8729528266754665
robert_ruth,,M,,,,5.8729528266754665
venessia_valentino,,F,,,,5.8729528266754665
ani_sava,,F,,,,5.8729528266754665
sy_sher,,M,,,,5.8729528266754665
emil_sitka,1914-12-22,M,,,,5.8729528266754665
devan_richardson,,M,,,,5.8729528266754665
don_blakely,2004-01-13,M,,,,5.8729528266754665
linda_kaye,,F,,,,5.8729528266754665
rene_beard,1941-06-03,M,,,,5.8729528266754665
rich_turner,,M,,,,5.8729528266754665
stephen_hibbert,,M,,,,5.8729528266754665
susan_griffiths,,F,,,,5.8729528266754665
eric_clark,,M,,,,5.8729528266754665
michael_gilden,1962-09-22,M,1.37,,,5.8729528266754665
glendon_rich,,M,,,,5.8729528266754665
angela_jones,1968-12-23,F,,,,5.8729528266754665
chandler_lindauer,1986-01-12,M,,,,5.8729528266754665
maria_de_medeiros,1965-08-19,F,,/m/03vghh,,5.8729528266754665
laura_lovelace,,F,,,,5.8729528266754665
carl_allen,,M,,,,5.8729528266754665
jerome_patrick_hoban,,M,,,,5.8729528266754665
brad_parker,,M,,,,5.8729528266754665
brenda_hillhouse,1953-12-11,F,,,,5.8729528266754665
gary_shorelle,,M,,,,5.8729528266754665
idris_elba,1972-09-06,M,1.898,,28.0,5.870929327668909
michael_rooker,1955-04-06,M,1.78,,31.0,5.864270172024161
anthony_michael_hall,1968-04-14,M,1.88,/m/033tf_,16.0,5.863158058501214
tom_felton,1987-09-22,M,1.753,,10.0,5.8625455536268225
charles_s._dutton,1951-01-30,M,1.79,/m/0x67,34.0,5.849157813901202
rutger_hauer,1944-01-23,M,1.85,/m/05l3g_,38.0,5.84837768864445
macaulay_culkin,1980-08-26,M,1.7,/m/033tf_,8.0,5.847734003041561
maggie_gyllenhaal,1977-11-16,F,1.75,/m/065b6q,14.0,5.846502091373875
mark_ruffalo,1967-11-22,M,1.73,/m/0xnvg,30.0,5.846070006644204
christina_ricci,1980-02-12,F,1.55,/m/063k3h,10.0,5.845174264537496
meryl_streep,1949-06-22,F,1.68,,33.0,5.844918000167891
tony_todd,1954-12-04,M,1.96,/m/0x67,32.0,5.843577998815486
pete_postlethwaite,1946-02-07,M,1.75,/m/02w7gg,46.0,5.842722581180129
bonnie_wright,1991-02-17,F,1.68,/m/02w7gg,11.0,5.842015663082775
james_phelps,1986-02-25,M,1.91,,16.0,5.842015663082775
joshua_herdman,1987-09-09,M,1.93,,15.0,5.842015663082775
oliver_phelps,1986-02-25,M,1.91,,16.0,5.842015663082775
matthew_david_lewis,1989-06-27,M,1.83,,13.0,5.842015663082775
jamie_waylett,1989-07-21,M,1.892,/m/02w7gg,13.0,5.842015663082775
alfred_enoch,1988-12-02,M,1.84,,13.0,5.842015663082775
rupert_grint,1988-08-24,M,1.73,,14.0,5.842015663082775
john_morris,1984-10-02,M,,,11.0,5.840377327526845
rachel_majorowski,,F,,,,5.838257027407376
colleen_mccauley,,F,,,,5.838257027407376
john_mighton,1957-10-02,M,,/m/044038p,40.0,5.838257027407376
mike_epps,1970-11-18,M,1.87,/m/0x67,29.0,5.835409732422844
chris_evans,1981-06-13,M,1.84,/m/033tf_,20.0,5.833017424970877
jennifer_lopez,1969-07-24,F,1.7,/m/0gkxl2,26.0,5.831070425823828
sally_field,1946-11-06,F,1.59,,35.0,5.828265455939701
emma_watson,1990-04-15,F,1.68,/m/0d7wh,12.0,5.827874542621687
peter_jackson,1961-10-31,M,1.69,/m/02jvpv,34.0,5.827318730934062
lisa_summerour,,,,,,5.8220972337077255
greg_wood,,M,,,,5.8220972337077255
firdous_bamji,1966-05-03,M,,,33.0,5.8220972337077255
jeffrey_zubernis,,,,,,5.8220972337077255
jason_segel,1980-01-18,M,1.93,/m/041rx,18.0,5.821792515714183
sydney_pollack,1934-07-01,M,1.82,/m/041rx,48.0,5.820447718008481
john_candy,1950-10-31,M,1.88,/m/044038p,29.0,5.820198123625735
robby_benson,1956-01-21,M,1.78,/m/041rx,35.0,5.818731464441733
richard_white,1953-08-04,M,,,38.0,5.818731464441733
alec_murphy,1955-11-06,,,,36.0,5.818731464441733
hal_smith,1916-08-24,M,,,75.0,5.818731464441733
alvin_epstein,1925-05-14,M,,,66.0,5.818731464441733
frances_mcdormand,1957-06-23,F,1.65,,27.0,5.81764958208456
gary_busey,1944-06-29,M,1.82,/m/02ctzb,40.0,5.8136558632909505
marlon_wayans,1972-07-23,M,1.842,/m/0x67,15.0,5.808275623834419
kristen_stewart,1990-04-09,F,1.68,/m/03cbkrf,10.0,5.808222189655071
